2 
FINITE ELEMENT MODEL FOR SHOCKWAVE 
MODEL WITH 814 TRIANGULAR ELEMENTS AND 461 NODES 
NELEM     NPOIN    NBOUN     NITER     NSHOW	
814 461 106 3000 10 
 GAMMA	
1.400000e+00 
NODAL COORDINATES AND INITIAL CONDITIONS [  ]:
217 5.665751 1.608178 1.000000 1.000000 0.000000 0.978400 
218 5.467129 1.609066 1.000000 1.000000 0.000000 0.978400 
219 5.268516 1.610030 1.000000 1.000000 0.000000 0.978400 
220 5.069588 1.610038 1.000000 1.000000 0.000000 0.978400 
221 4.870500 1.609622 1.000000 1.000000 0.000000 0.978400 
222 4.671402 1.609304 1.000000 1.000000 0.000000 0.978400 
223 4.472298 1.609086 1.000000 1.000000 0.000000 0.978400 
224 4.273200 1.608967 1.000000 1.000000 0.000000 0.978400 
225 4.074109 1.608946 1.000000 1.000000 0.000000 0.978400 
226 3.875010 1.609021 1.000000 1.000000 0.000000 0.978400 
227 3.675906 1.609192 1.000000 1.000000 0.000000 0.978400 
228 3.476808 1.609461 1.000000 1.000000 0.000000 0.978400 
229 3.277719 1.609829 1.000000 1.000000 0.000000 0.978400 
230 3.078631 1.610297 1.000000 1.000000 0.000000 0.978400 
231 2.879534 1.610866 1.000000 1.000000 0.000000 0.978400 
232 2.680431 1.611532 1.000000 1.000000 0.000000 0.978400 
233 2.481335 1.612298 1.000000 1.000000 0.000000 0.978400 
234 2.282246 1.613168 1.000000 1.000000 0.000000 0.978400 
235 2.083151 1.614145 1.000000 1.000000 0.000000 0.978400 
236 1.884050 1.615225 1.000000 1.000000 0.000000 0.978400 
237 1.684956 1.616414 1.000000 1.000000 0.000000 0.978400 
238 1.485873 1.617716 1.000000 1.000000 0.000000 0.978400 
239 1.286790 1.619138 1.000000 1.000000 0.000000 0.978400 
240 1.087699 1.620680 1.000000 1.000000 0.000000 0.978400 
241 0.887502 1.621569 1.000000 1.000000 0.000000 0.978400 
242 0.674976 1.613743 1.000000 1.000000 0.000000 0.978400 
